ANZAC ID ,Mouse ID,treatment,diet,diet.P,diet.C,diet.F,ave.intake,intake.P,intake.C,intake.F,intake.E,triglycerides,uterus.weight.mg,ucp1,ucp1.batw,GTT_AUC,P4,FSH,LH,body.weight,body.fat,no.cycles,no.CL,cholesterol,adiponectin,triglycerides,uterus.weight,adipo.size,red.liver,ucp1,ucp1.batw,fgf21,basal.glucose
23396,O101.1/7,dht,4,4.84,7.31,3.19,2.211912169,10.7056549,16.16907796,7.05599982,33.93073268,71.18682078,75.38,0.6357,8.636054884,16247,0.356,734.08,140,23.2,22.7,0,,55.67051188,12276.4349,71.18682078,0.07538,2050.64055,,0.6357,8.63605488,12.2764349,9.2
23397,OSO117.1/5,dht,7,2.09,4.47,9.26,2.485087831,5.193833566,11.1083426,23.01191331,39.31408948,49.93956523,58.64,0.9225,16.1558669,21231,0.1732,425.43,66.17,24.3,20.7,0,,108.3547406,4559.8699,49.93956523,0.05864,1397.72621,,0.9225,16.1558669,4.55986986,6.8
23398,OSO121.1/7,dht,6,0.74,7.46,7.8,2.622092063,1.940348127,19.56080679,20.4523181,41.95347302,22.45670207,70.58,0.9044,14.04347826,13373,0.284,717.18,101.58,22.3,23.2,0,1,98.94858324,11211.1169,22.45670207,0.07058,2021.57568,2.55625411,0.9044,14.0434783,5.94636526,10
23399,OSO121.1/6,dht,6,0.74,7.46,7.8,2.622092063,1.940348127,19.56080679,20.4523181,41.95347302,33.65770092,73.49,0.9231,11.43866171,13980,2.76,352.63,72.14,22.4,20.7,0,1,109.1832623,12764.684,33.65770092,0.07349,2433.55497,1.93454544,0.9231,11.4386617,1.17344072,8.9
23400,OSO119.1/6,dht,7,2.09,4.47,9.26,2.485087831,5.193833566,11.1083426,23.01191331,39.31408948,36.89097894,73.72,1.4667,20.66647879,17274,0.618,810.27,202.87,23.2,20.9,0,0,107.4287459,17378.8911,36.89097894,0.07372,1379.92765,7.46787495,1.4667,20.6664788,17.3788911,9.3
23401,OSO119.1/7,dht,7,2.09,4.47,9.26,2.485087831,5.193833566,11.1083426,23.01191331,39.31408948,45.0896482,65.76,0.4218,6.447569551,14573,0.336,641.33,160.62,24,20.2,0,0,98.36374444,8731.7675,45.0896482,0.06576,1597.606,5.97846959,0.4218,6.44756955,8.7317675,9.3
23406,O103.1/4,blank,5,4.93,3.06,7.8,2.090503704,10.30618326,6.396941333,16.30592889,33.00905348,102.1339104,63.012,0.5999,16.65463631,22805,0.78,616.14,157.9,19.2,17,2,6,43.07510426,4667.0949,102.1339104,0.063012,,12.6993631,0.5999,16.6546363,4.66709493,5.9
23407,OSO119.1/8,dht,6,0.74,7.46,7.8,2.622092063,1.940348127,19.56080679,20.4523181,41.95347302,35.59939769,67.8,3.1834,37.39457301,15869,0.626,810.27,211.81,22.9,23.1,0,,74.51267566,17046.1586,35.59939769,0.0678,2428.00235,,3.1834,37.394573,0.22678523,8.2
23408,O104.1/8,dht,4,4.84,7.31,3.19,2.211912169,10.7056549,16.16907796,7.05599982,33.93073268,102.0965269,51.54,1.4845,16.80629458,14894,0.142,1107,60.2,21.8,22.2,0,1,55.98478979,10684.4287,102.0965269,0.05154,1597.03876,0.74471996,1.4845,16.8062946,10.6844287,8.5
23409,O104.1/9,dht,4,4.84,7.31,3.19,2.211912169,10.7056549,16.16907796,7.05599982,33.93073268,27.81144562,89.58,1.72,27.17648918,19264,,1218,627.73,22.8,20.5,0,,49.32476595,13554.7297,27.81144562,0.08958,1779.48495,,1.72,27.1764892,13.5547297,8.9
23410,OSO113.6/9,dht,5,4.93,3.06,7.8,2.080355556,10.25615289,6.365888,16.22677333,32.84881422,54.05085337,84.11,0.9277,13.98191409,16788,1.222,2704,94.37,24.6,24,0,0,59.73140846,9172.988,54.05085337,0.08411,1648.06487,4.4080887,0.9277,13.9819141,9.17298798,11.2
23411,O103.1/6,dht,5,4.93,3.06,7.8,2.080355556,10.25615289,6.365888,16.22677333,32.84881422,69.98620145,51.45,1.2638,20.87545425,19309,0.958,4170,72.26,23.7,22.3,0,0,54.38237804,14831.2728,69.98620145,0.05145,1994.0818,0.45863374,1.2638,20.8754543,14.8312728,9.4
23412,O103.1/7,dht,5,4.93,3.06,7.8,2.080355556,10.25615289,6.365888,16.22677333,32.84881422,67.23046457,64.3,0.9732,14.43702715,18971,0.1124,1872,2.31,24.5,21.9,0,0,58.33833205,13486.789,67.23046457,0.0643,1741.41888,0.10805319,0.9732,14.4370272,13.486789,10.2
23413,OSO121.2/6,dht,8,2.09,8.87,4.68,2.493847737,5.21214177,22.12042942,11.67120741,39.0037786,69.98620145,50.49,1.3137,15.19079556,16650,0.676,1675,220.91,24.02,19.3,0,0,58.08795522,10727.4568,69.98620145,0.05049,1658.45859,0.34836694,1.3137,15.1907956,10.7274568,10
23414,OSO121.2/8,dht,8,2.09,8.87,4.68,2.493847737,5.21214177,22.12042942,11.67120741,39.0037786,64.47472768,56.25,1.4728,23.71276767,13710,0.642,1346,27.07,23.04,17.9,0,,59.9407438,16040.8662,64.47472768,0.05625,1385.33953,,1.4728,23.7127677,,6.8
23415,OSO121.2/9,dht,9,6.27,4.47,4.72,2.191707231,13.74200434,9.796931323,10.34485813,33.88379379,73.94008481,50.5,0.1904,2.603226689,17155,0.834,952.29,94.37,23.6,21.1,0,0,59.73140846,8235.6165,73.94008481,0.0505,1504.22904,,0.1904,2.60322669,,7.9
23416,OSO121.2/10,dht,9,6.27,4.47,4.72,2.191707231,13.74200434,9.796931323,10.34485813,33.88379379,42.90809117,59.24,0.2505,4.48522829,20284,0.1228,1079,2.31,22.37,19.9,0,0,41.4629333,9971.8001,42.90809117,0.05924,1672.48896,3.27829163,0.2505,4.48522829,9.97180011,8.9
23417,OSO121.2/10+1,dht,9,6.27,4.47,4.72,2.191707231,13.74200434,9.796931323,10.34485813,33.88379379,64.23509839,64.15,0.3152,6.147844744,20946,0.332,461.99,2.31,24.24,17,0,0,34.70275873,16502.2188,64.23509839,0.06415,1290.61674,1.68121772,0.3152,6.14784474,16.5022188,8.3
23418,O101.2/3,blank,9,6.27,4.47,4.72,2.215437037,13.89079022,9.903003556,10.45686281,34.25065659,20.62256678,42.58,0.3588,4.707425872,11877,1.156,6144,241.09,21.65,18.2,2,6,12.71967252,25859.9997,20.62256678,0.04258,1687.23451,0.17552912,0.3588,4.70742587,0.01059,6.7
23419,O101.2/5,blank,9,6.27,4.47,4.72,2.215437037,13.89079022,9.903003556,10.45686281,34.25065659,17.98664454,52.68,0.1885,2.722808031,26918,1.236,4112,83.36,21.71,19.1,2,6,27.29160438,19341.1416,17.98664454,0.05268,1361.70258,0.05131955,0.1885,2.72280803,0.03212832,5.5
23420,O101.2/2,blank,9,6.27,4.47,4.72,2.215437037,13.89079022,9.903003556,10.45686281,34.25065659,79.69118788,48.08,0.3229,6.148134044,26238,0.618,396.7,2.31,20.9,19.4,2,5,34.40230652,23090.1737,79.69118788,0.04808,1480.23876,0.13752652,0.3229,6.14813404,0.24070596,6.3
23421,OSO119.2/6,blank,10,3.43,5.89,6.19,2.233511111,7.660943111,13.15538044,13.82543378,34.64175733,47.46104777,82.47,0.1564,3.165351143,12728,0.778,6205,72.26,19.64,19,2,14,37.90758223,,47.46104777,0.08247,1177.31438,0.59290547,0.1564,3.16535114,0.02060239,10.2
23422,O103.2/4,blank,1,8.88,3.03,3.22,2.090909524,18.56727657,6.335455857,6.732728667,31.6354611,45.18456947,64.5,0.1885,4.283117473,16986,0.602,2490,116.17,21.51,16.4,2,,34.35223115,18625.2433,45.18456947,0.0645,1296.49484,0.01295633,0.1885,4.28311747,0.78493559,9.1
23423,O103.2/8,dht,1,8.88,3.03,3.22,1.99089418,17.67914032,6.032409365,6.410679259,30.12222894,50.09697001,55.95,0.3278,6.264093254,9242,0.0662,2490,72.26,22.18,18.2,0,,38.60863737,11986.1756,50.09697001,0.05595,1180.76559,0.03309342,0.3278,6.26409325,0.12849373,9
23424,O103.2/9,dht,1,8.88,3.03,3.22,1.99089418,17.67914032,6.032409365,6.410679259,30.12222894,36.19847092,60.71,0.1404,3.556231003,10168,0.328,2331,275.84,21.35,17.7,0,,27.14137828,13332.2221,36.19847092,0.06071,,,0.1404,3.556231,0.82791044,7
23425,OSO119.2/7,dht,10,3.43,5.89,6.19,2.401257143,8.236312,14.14340457,14.86378171,37.24349829,108.6863325,78.44,0.1318,2.576231431,14757,3.82,1579,357.52,24.07,24,0,0,28.69371466,5753.3553,108.6863325,0.07844,1842.76056,5.60723316,0.1318,2.57623143,0.28709696,10.5
23426,OSO119.2/8,dht,10,3.43,5.89,6.19,2.401257143,8.236312,14.14340457,14.86378171,37.24349829,80.41007577,53.35,0.1409,3.597140669,13500,0.526,4053,413.11,21.33,19.5,0,0,31.59808596,14974.2892,80.41007577,0.05335,1234.92849,0.54577818,0.1409,3.59714067,0.0672808,11.3
23427,OSO119.2/9,dht,10,3.43,5.89,6.19,2.401257143,8.236312,14.14340457,14.86378171,37.24349829,47.22141847,64.95,0.2328,5.134539038,14833,0.025,2867,290.52,23.17,19.1,0,,34.30215579,7693.7869,47.22141847,0.06495,1687.02955,,0.2328,5.13453904,,9.9
23428,O103.2/7,blank,2,0.74,11.62,3.23,3.641238095,2.69451619,42.31118667,11.76119905,56.7669019,23.13867437,25.02,2.9426,54.96077699,13364,,5416,88.87,16.4,27.5,0,,40.61165206,14554.6524,23.13867437,0.02502,,2.45760437,2.9426,54.960777,10.3185659,7.7
23464,OSO119.2/5,blank,10,3.43,5.89,6.19,2.233511111,7.660943111,13.15538044,13.82543378,34.64175733,29.48885068,57.04,0.9007,10.77263485,17981,1.83,4818,49.83,20.8,19.3,2,3,27.94258415,15547.8854,29.48885068,0.05704,1332.17015,3.00759987,0.9007,10.7726349,0.08645618,7.8
23465,O103.2/10,dht,2,0.74,11.62,3.23,3.117771429,2.307150857,36.228504,10.07040171,48.60605657,19.54423495,47.17,0.8478,10.29383196,13240,2.46,1122,2.31,19.12,21.9,0,,83.17571419,17320.2937,19.54423495,0.04717,1934.14558,,0.8478,10.293832,2.68950867,7.5
23466,OSO118.2/10,blank,4,4.84,7.31,3.19,2.229607937,10.79130241,16.29843402,7.112449317,34.20218575,58.24436602,66.61,0.1592,4.43454039,16815,0.55,713,72.26,19.67,19.8,2,,56.48554346,17521.4512,58.24436602,0.06661,,,0.1592,4.43454039,17.5214512,8.1
